Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_ind_length,ul_ind_length,ul_init_length,sml_ind_mem,ul_ind_mem,ul_init_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway,valid,3,0.153,10 5,68,0,0,0,0,0,0,0,0,0.042,0.008,0.002,0.022,120,68,81,18,50,28,10,18,9,17.08,2.312,1.226,5,11.519,48,38,0,30164
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6,valid,2,0.039,5,22,0,0,0,0,0,0,0,0,0.013,0.002,0.001,0.004,15,0,5,0,0,0,0,5,5,0.021,0.963,0.906,3,6.407,10,7,0,29068
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums,valid,2,0.124,9,46,0,0,0,0,0,0,0,0,0.037,0.005,0.002,0.023,44,28,39,11,19,8,4,11,11,25.738,2.13,2.045,2,20.79,14,3,0,31212
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834,valid,2,0.039,3,18,0,0,0,0,0,0,0,0,0.008,0.002,0.001,0.005,13,5,8,3,4,0,1,4,3,7.446,0.723,0.737,3,9.299,5,2,0,29220
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_207_e7_41,invalid,0,0.01,N/A,2,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28780
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6_e7_651,invalid,0,0.011,N/A,2,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28692
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums_e8_1032,valid,2,0.065,4,18,0,0,0,0,0,0,0,0,0.019,0.003,0,0.006,7,3,7,1,3,0,0,5,4,0.021,1.18,0.854,0,0.021,0,0,0,31232
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6_e8_427,invalid,1,0.014,0,7,0,0,0,0,0,0,0,0,0.002,0.001,0,0.002,0,0,1,0,0,0,0,0,0,0.021,0.021,0.021,0,0.021,0,0,0,28684
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192,valid,3,0.132,10 5,68,0,0,0,0,0,0,0,0,0.044,0.007,0.003,0.02,120,68,81,18,50,28,10,18,9,17.057,2.303,1.22,5,11.469,48,38,0,29584
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_21,invalid,0,0.013,N/A,2,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28680
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell,valid,2,0.037,5,22,0,0,0,0,0,0,0,0,0.012,0.002,0.001,0.004,16,0,5,0,0,0,0,5,5,0.021,0.983,0.927,3,6.372,11,8,0,28684
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363,valid,2,0.039,3,17,0,0,0,0,0,0,0,0,0.01,0.002,0,0.004,11,2,5,1,2,0,0,4,3,0.021,0.744,0.683,3,9.28,6,3,0,29348
