Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,f_sml,f_reuse_sml,sml_ind_length,sml_ind_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway,valid,5,0.287,7 5 4 2,458,0,0.001,0.001,0.001,0.001,0.111,0.034,0.003,0.041,183,95,14,21.311,6,12.829,299,59,0,30752
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6,valid,2,0.035,5,22,0,0,0,0,0,0.012,0.002,0.001,0.004,0,0,0,0.021,3,6.407,10,7,0,29880
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums,valid,2,0.202,12,109,0,0,0,0,0,0.078,0.01,0.001,0.028,0,0,0,0.021,5,28.291,54,17,0,31240
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834,valid,2,0.03,2,16,0,0,0,0,0,0.007,0.002,0,0.003,0,0,0,0.021,2,8.393,5,1,0,29792
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_207_e7_41,invalid,0,0.01,,2,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,28904
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6_e7_651,invalid,0,0.01,,2,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,28684
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums_e8_1032,valid,2,0.057,3,20,0,0,0,0,0,0.017,0.003,0,0.006,0,0,0,0.021,1,18.338,4,0,0,29924
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6_e8_427,invalid,1,0.017,0,7,0,0,0,0,0,0.002,0.001,0,0.002,0,0,0,0.021,0,0.021,0,0,0,28944
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192,valid,5,0.298,7 5 4 2,458,0,0.001,0.001,0.001,0.001,0.116,0.035,0.003,0.042,183,95,14,21.289,6,12.786,299,59,0,31120
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_21,invalid,0,0.01,,2,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,28952
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell,valid,2,0.035,5,22,0,0,0,0,0,0.012,0.002,0,0.004,0,0,0,0.021,3,6.372,11,8,0,28984
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363,valid,2,0.038,3,18,0,0,0,0,0,0.011,0.002,0,0.004,0,0,0,0.021,3,9.326,7,3,0,29536
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums_e7_1700,invalid,1,0.327,17,172,0,0,0,0,0,0.115,0.016,0.002,0.067,0,0,0,0.021,3,23.586,81,24,0,31604
