Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_length,ucl_f_length,ucl_i_length,sml_mem,ucl_f_mem,ucl_i_mem,max
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway,valid,4,0.196,10 8 4,186,0,0,0,N/A,N/A,N/A,N/A,N/A,0.059,0.018,0.002,0.016,163,99,115,22,0,0,N/A,19,11,N/A,2.542,1.512,30360
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6,valid,2,0.035,5,29,0,0,0,N/A,N/A,N/A,N/A,N/A,0.011,0.003,0.001,0.003,15,0,5,0,0,0,N/A,5,5,N/A,0.963,0.906,29716
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums,valid,2,0.107,7,47,0,0,0,N/A,N/A,N/A,N/A,N/A,0.035,0.006,0.001,0.012,40,29,38,13,0,0,N/A,11,9,N/A,2.167,1.509,31056
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834,valid,2,0.035,3,20,0,0,0,N/A,N/A,N/A,N/A,N/A,0.009,0.002,0.001,0.002,13,5,8,3,0,0,N/A,4,3,N/A,0.723,0.737,29492
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_207_e7_41,invalid,0,0.011,N/A,2,0,0,0,N/A,N/A,N/A,N/A,N/A,0.001,0,0,0.001,0,0,0,0,0,0,N/A,0,0,N/A,0,0,28652
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6_e7_651,invalid,0,0.012,N/A,2,0,0,0,N/A,N/A,N/A,N/A,N/A,0.001,0,0,0.001,0,0,0,0,0,0,N/A,0,0,N/A,0,0,28580
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums_e8_1032,valid,2,0.062,4,18,0,0,0,N/A,N/A,N/A,N/A,N/A,0.019,0.002,0,0.006,7,3,7,1,0,0,N/A,5,4,N/A,1.18,0.854,29396
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6_e8_427,invalid,1,0.015,0,7,0,0,0,N/A,N/A,N/A,N/A,N/A,0.002,0.001,0,0.002,0,0,1,0,0,0,N/A,0,0,N/A,0.021,0.021,28796
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192,valid,4,0.172,10 8 4,186,0,0,0,N/A,N/A,N/A,N/A,N/A,0.065,0.017,0.003,0.015,163,99,115,22,0,0,N/A,19,11,N/A,2.537,1.512,29756
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_21,invalid,0,0.011,N/A,2,0,0,0,N/A,N/A,N/A,N/A,N/A,0.001,0,0,0.001,0,0,0,0,0,0,N/A,0,0,N/A,0,0,28688
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell,valid,2,0.036,5,30,0,0,0,N/A,N/A,N/A,N/A,N/A,0.011,0.003,0.001,0.003,16,0,5,0,0,0,N/A,5,5,N/A,0.983,0.927,28740
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363,valid,2,0.036,3,20,0,0,0,N/A,N/A,N/A,N/A,N/A,0.009,0.003,0,0.002,11,2,5,1,0,0,N/A,4,3,N/A,0.744,0.683,29484
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums_e7_1700,invalid,1,0.402,26,178,0,0,0,N/A,N/A,N/A,N/A,N/A,0.135,0.022,0.005,0.059,140,93,126,28,0,0,N/A,36,31,N/A,4.144,3.779,30564
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_207_e8_241,valid,2,0.036,5,30,0,0,0,N/A,N/A,N/A,N/A,N/A,0.011,0.003,0.001,0.003,16,0,5,0,0,0,N/A,5,5,N/A,0.981,0.925,28640
