Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ind_solver,ic3_ind_gen_time,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway,valid,5,0.294,7 5 4 2,546,472,0.169,0.121,0.041,0.002,0.023
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6,valid,2,0.035,5,29,10,0.008,0.012,0.002,0.001,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums,valid,2,0.148,9,92,61,0.041,0.059,0.008,0.001,0.014
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834,valid,2,0.031,2,17,7,0.005,0.008,0.002,0,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_207_e7_41,invalid,0,0.01,N/A,2,0,0,0.001,0,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6_e7_651,invalid,0,0.011,N/A,2,0,0,0.001,0,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums_e8_1032,valid,2,0.056,3,20,7,0.008,0.017,0.003,0,0.005
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6_e8_427,invalid,1,0.014,0,7,0,0,0.002,0.001,0,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192,valid,5,0.275,7 5 4 2,546,472,0.173,0.121,0.04,0.001,0.021
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_21,invalid,0,0.01,N/A,2,0,0,0.001,0,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell,valid,2,0.036,5,30,11,0.009,0.013,0.003,0.001,0.003
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363,valid,2,0.037,3,21,8,0.007,0.011,0.002,0,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums_e7_1700,invalid,1,0.118,5,61,36,0.025,0.038,0.006,0.001,0.016
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_207_e8_241,valid,2,0.034,5,30,11,0.008,0.012,0.003,0.001,0.003
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/_6counter,invalid,5,0.148,7 5 3 2 1,379,306,0.101,0.07,0.026,0,0.011
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/stalmark_e7_76,valid,4,0.037,6 5 3,91,58,0.019,0.016,0.006,0.001,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/stalmark_e8_64_e7_80,invalid,1,0.011,0,7,0,0,0.001,0.001,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/switch2,invalid,1,0.017,0,14,4,0.002,0.004,0.001,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/_6counter2,invalid,4,0.043,3 2 1 0,98,52,0.015,0.016,0.006,0.001,0.004
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/stalmark_e8_64_e8_207,invalid,0,0.008,N/A,1,0,0,0.001,0,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/stalmark_e8_48,invalid,0,0.006,N/A,2,0,0,0,0,0,0
