Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_ind_length,ul_ind_length,ul_init_length,sml_ind_mem,ul_ind_mem,ul_init_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell,valid,2,0.037,5,22,0,0,0,0,0,0,0,0,0.012,0.002,0.001,0.004,16,0,5,0,0,0,0,5,5,0.021,0.983,0.927,3,6.372,11,8,0,29064
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_207_e8_241,valid,2,0.035,5,22,0,0,0,0,0,0,0,0,0.012,0.002,0.001,0.004,16,0,5,0,0,0,0,5,5,0.021,0.981,0.925,3,6.383,11,8,0,29820
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6,valid,2,0.036,5,22,0,0,0,0,0,0,0,0,0.011,0.002,0.001,0.004,15,0,5,0,0,0,0,5,5,0.021,0.963,0.906,3,6.407,10,7,0,29984
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834,valid,2,0.039,3,18,0,0,0,0,0,0,0,0,0.009,0.002,0.001,0.005,13,5,8,3,4,0,1,4,3,7.446,0.723,0.737,3,9.299,5,2,0,29696
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363,valid,2,0.04,3,17,0,0,0,0,0,0,0,0,0.01,0.002,0,0.005,11,2,5,1,2,0,0,4,3,0.021,0.744,0.683,3,9.28,6,3,0,29620
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums,valid,2,0.128,9,46,0,0,0,0,0,0,0,0,0.038,0.005,0.002,0.023,44,28,39,11,19,8,4,11,11,25.738,2.13,2.045,2,20.79,14,3,0,29928
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums_e8_1032,valid,2,0.066,4,18,0,0,0,0,0,0,0,0,0.02,0.003,0,0.007,7,3,7,1,3,0,0,5,4,0.021,1.18,0.854,0,0.021,0,0,0,30928
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave02,valid,2,0.015,0,4,0,0,0,0,0,0,0,0,0.004,0.001,0,0,0,0,0,0,0,0,0,0,0,0.021,0.021,0.021,0,0.021,0,0,0,87192
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave03,valid,2,0.017,0,4,0,0,0,0,0,0,0,0,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0.021,0.021,0.021,0,0.021,0,0,0,89040
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave04,valid,2,0.02,0,4,0,0,0,0,0,0,0,0,0.005,0.003,0,0,0,0,0,0,0,0,0,0,0,0.021,0.021,0.021,0,0.021,0,0,0,89068
