Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,f_sml,f_reuse_sml,sml_ind_length,sml_ind_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell,valid,2,0.039,5,22,0,0,0,0,0,0.012,0.002,0.001,0.004,0,0,0,0.021,3,6.372,11,8,0,29032
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_207_e8_241,valid,2,0.035,5,22,0,0,0,0,0,0.012,0.002,0.001,0.004,0,0,0,0.021,3,6.383,11,8,0,29924
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6,valid,2,0.039,5,22,0,0,0,0,0,0.012,0.002,0.001,0.004,0,0,0,0.021,3,6.407,10,7,0,29944
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834,valid,2,0.032,2,16,0,0,0,0,0,0.008,0.002,0,0.003,0,0,0,0.021,2,8.393,5,1,0,29356
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363,valid,2,0.038,3,18,0,0,0,0,0,0.01,0.002,0,0.004,0,0,0,0.021,3,9.326,7,3,0,29580
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums,valid,2,0.203,12,109,0,0,0,0,0,0.078,0.01,0.001,0.028,0,0,0,0.021,5,28.291,54,17,0,31456
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums_e8_1032,valid,2,0.064,3,20,0,0,0,0,0,0.019,0.003,0,0.007,0,0,0,0.021,1,18.338,4,0,0,31084
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave02,valid,2,0.017,0,4,0,0,0,0,0,0.004,0.001,0,0,0,0,0,0.021,0,0.021,0,0,0,86948
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave03,valid,2,0.017,0,4,0,0,0,0,0,0.004,0.002,0,0,0,0,0,0.021,0,0.021,0,0,0,89220
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave04,valid,2,0.017,0,4,0,0,0,0,0,0.004,0.002,0,0,0,0,0,0.021,0,0.021,0,0,0,89044
