Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_extra_ucl,ic3_add_ucl,ic3_check_ucl,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,i_ucl,i_reuse_ucl,f_ucl,f_reuse_ucl,f_sml,f_reuse_sml,sml_length,ucl_f_length,ucl_i_length,sml_mem,ucl_f_mem,ucl_i_mem,max
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell,valid,2,0.054,5,30,0,0,0,N/A,N/A,N/A,N/A,N/A,0.011,0.005,0.001,0.004,16,0,5,0,0,0,N/A,5,5,N/A,0.983,0.927,29008
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_207_e8_241,valid,2,0.035,5,30,0,0,0,N/A,N/A,N/A,N/A,N/A,0.011,0.003,0.001,0.003,16,0,5,0,0,0,N/A,5,5,N/A,0.981,0.925,28972
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6,valid,2,0.038,5,29,0,0,0,N/A,N/A,N/A,N/A,N/A,0.012,0.003,0.001,0.003,15,0,5,0,0,0,N/A,5,5,N/A,0.963,0.906,30192
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834,valid,2,0.041,3,20,0,0,0,N/A,N/A,N/A,N/A,N/A,0.01,0.003,0.001,0.003,13,5,8,3,0,0,N/A,4,3,N/A,0.723,0.737,29752
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363,valid,2,0.041,3,20,0,0,0,N/A,N/A,N/A,N/A,N/A,0.01,0.003,0,0.003,11,2,5,1,0,0,N/A,4,3,N/A,0.744,0.683,30056
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums,valid,2,0.103,7,47,0,0,0,N/A,N/A,N/A,N/A,N/A,0.033,0.005,0.001,0.011,40,29,38,13,0,0,N/A,11,9,N/A,2.167,1.509,30760
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums_e8_1032,valid,2,0.068,4,18,0,0,0,N/A,N/A,N/A,N/A,N/A,0.02,0.003,0,0.007,7,3,7,1,0,0,N/A,5,4,N/A,1.18,0.854,29884
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave02,valid,2,0.023,0,4,0,0,0,N/A,N/A,N/A,N/A,N/A,0.005,0.005,0,0,0,0,0,0,0,0,N/A,0,0,N/A,0.021,0.021,87136
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave03,valid,2,0.019,0,4,0,0,0,N/A,N/A,N/A,N/A,N/A,0.005,0.003,0,0,0,0,0,0,0,0,N/A,0,0,N/A,0.021,0.021,91112
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave04,valid,2,0.017,0,4,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.002,0,0,0,0,0,0,0,0,N/A,0,0,N/A,0.021,0.021,89092
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave12,invalid,2,0.187,0,15,0,0,0,N/A,N/A,N/A,N/A,N/A,0.018,0.009,0,0.005,3,1,4,1,0,0,N/A,2,2,N/A,0.377,0.324,86980
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave14,invalid,2,0.857,0,76,0,0,0,N/A,N/A,N/A,N/A,N/A,0.054,0.033,0.002,0.016,54,36,46,9,0,0,N/A,18,7,N/A,2.374,1.38,89060
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave15,valid,2,0.033,0,4,0,0,0,N/A,N/A,N/A,N/A,N/A,0.008,0.002,0,0,0,0,0,0,0,0,N/A,0,0,N/A,0.021,0.021,85208
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave16,valid,2,0.017,0,4,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.002,0,0,0,0,0,0,0,0,N/A,0,0,N/A,0.021,0.021,83028
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave18,invalid,2,0.446,0,32,0,0,0,N/A,N/A,N/A,N/A,N/A,0.019,0.017,0.001,0.009,15,8,13,1,0,0,N/A,6,3,N/A,1.351,0.538,89312
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave20,invalid,2,0.02,0,5,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.004,0,0.001,0,0,0,0,0,0,N/A,0,0,N/A,0.021,0.021,97320
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave23,invalid,2,0.218,0,21,0,0,0,N/A,N/A,N/A,N/A,N/A,0.013,0.017,0,0.005,7,3,6,0,0,0,N/A,3,1,N/A,0.632,0.282,88996
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave25,invalid,2,0.019,0,5,0,0,0,N/A,N/A,N/A,N/A,N/A,0.004,0.003,0,0.001,0,0,0,0,0,0,N/A,0,0,N/A,0.021,0.021,95304
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave28,invalid,2,0.373,0,35,0,0,0,N/A,N/A,N/A,N/A,N/A,0.02,0.023,0.001,0.008,18,11,16,2,0,0,N/A,6,3,N/A,0.906,0.506,93088
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave33,invalid,2,1.952,0,139,0,0,0,N/A,N/A,N/A,N/A,N/A,0.092,0.756,0.004,0.024,120,78,97,27,0,0,N/A,18,12,N/A,2.452,2.049,90776
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave34,invalid,2,1.146,0,129,0,0,0,N/A,N/A,N/A,N/A,N/A,0.088,0.142,0.002,0.021,101,59,77,17,0,0,N/A,16,12,N/A,2.729,2.123,91108
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave35,invalid,2,3.055,0,166,0,0,0,N/A,N/A,N/A,N/A,N/A,0.12,1.882,0.003,0.026,148,97,116,30,0,0,N/A,18,13,N/A,2.97,2.279,90832
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave37,invalid,2,2.967,0,182,0,0,0,N/A,N/A,N/A,N/A,N/A,0.136,1.604,0.003,0.032,156,92,110,28,0,0,N/A,23,14,N/A,3.345,2.455,90928
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave38,invalid,2,65.644,0,141,0,0,0,N/A,N/A,N/A,N/A,N/A,0.168,64.115,0.004,0.036,127,74,93,36,0,0,N/A,20,15,N/A,3.45,2.645,178380
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave39,invalid,2,2.389,0,206,0,0,0.001,N/A,N/A,N/A,N/A,N/A,0.153,0.84,0.004,0.036,170,103,125,21,0,0,N/A,23,16,N/A,3.565,2.752,93076
