Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ind_solver,ic3_ind_gen_time,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell,valid,2,0.038,5,30,11,0.009,0.013,0.003,0.001,0.003,29012
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_207_e8_241,valid,2,0.035,5,30,11,0.009,0.013,0.003,0.001,0.003,30056
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6,valid,2,0.041,5,29,10,0.009,0.014,0.003,0.001,0.003,29944
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834,valid,2,0.033,2,17,7,0.005,0.009,0.002,0,0.001,28632
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363,valid,2,0.045,3,21,8,0.008,0.012,0.003,0.001,0.003,29672
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums,valid,2,0.174,9,92,61,0.045,0.07,0.011,0.001,0.016,30788
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums_e8_1032,valid,2,0.062,3,20,7,0.009,0.018,0.003,0,0.005,30972
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave02,valid,2,0.016,0,4,0,0,0.004,0.001,0,0,87000
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave03,valid,2,0.016,0,4,0,0,0.004,0.002,0,0,89172
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave04,valid,2,0.018,0,4,0,0,0.004,0.002,0,0,89108
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave12,invalid,2,0.744,0,86,50,0.042,0.057,0.026,0.001,0.011,86812
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave14,invalid,2,0.401,0,66,36,0.027,0.043,0.017,0.001,0.008,89188
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave15,valid,2,0.023,0,4,0,0,0.007,0.002,0,0,82820
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave16,valid,2,0.019,0,4,0,0,0.004,0.002,0,0,82904
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave18,invalid,2,0.538,0,39,17,0.02,0.025,0.019,0,0.009,88872
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave20,invalid,2,0.022,0,5,0,0,0.005,0.003,0,0.001,99372
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave23,invalid,2,0.254,0,25,6,0.01,0.02,0.015,0,0.007,88920
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave25,invalid,2,0.02,0,5,0,0,0.005,0.003,0,0.001,95064
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave28,invalid,2,0.291,0,27,8,0.017,0.022,0.023,0.001,0.007,88704
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave33,invalid,2,2.283,0,339,274,0.87,0.145,1.176,0.003,0.024,88772
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave34,invalid,2,3.21,0,315,254,0.63,0.183,1.829,0.002,0.03,92812
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave35,invalid,2,4.102,0,396,319,0.602,0.162,2.668,0.004,0.031,91036
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave37,invalid,2,4.101,0,330,263,2.464,0.187,2.955,0.003,0.033,92796
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave38,invalid,2,5.026,0,353,278,1.459,0.201,3.318,0.002,0.038,94752
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave39,invalid,2,3.998,0,407,309,1.094,0.218,2.019,0.004,0.044,92696
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/microwave40,invalid,2,0.021,0,5,0,0,0.005,0.003,0,0.001,92920
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/steam_boiler_no_arr1,valid,2,0.093,0,4,0,0,0.004,0.025,0,0,189496
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/large/steam_boiler_no_arr1_e4_23904_e4_2384,valid,2,0.092,0,4,0,0,0.003,0.025,0,0,189492
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1,valid,2,0.029,1,14,7,0.003,0.004,0.003,0,0.001,57696
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e1_14612_e1_268_e7_501,valid,2,0.041,2,19,9,0.005,0.006,0.004,0,0.002,57536
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e1_14612_e2_2653_e7_4370,valid,2,0.03,1,14,7,0.004,0.004,0.003,0,0.001,59776
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e1_3184_e7_1888,valid,2,0.04,2,19,9,0.004,0.006,0.004,0,0.002,57736
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e1_5070,valid,2,0.04,2,24,14,0.006,0.007,0.004,0,0.002,59816
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e2_1997,valid,2,0.05,2,24,14,0.011,0.009,0.006,0,0.002,57540
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/DRAGON_1_e2_1997_e7_3613_e2_3409,valid,2,0.039,1,14,7,0.004,0.005,0.003,0,0.001,57592
